source,destination,datetime,duration
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-03-26 09:19:26,37
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-03-26 09:14:25,47
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-03-29 19:30:27,28
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-03-31 23:24:22,113
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-03-31 19:41:23,23
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-03-31 19:37:46,97
FNGiD7T4cpkOIM3mq.YdMY,2uUonTT3kWE7Uj7KiYBXDc,2012-04-01 13:57:39,40
FNGiD7T4cpkOIM3mq.YdMY,2Onqyq2Ke1gkX5taqmTLCI,2012-04-03 23:52:55,0
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-04-04 19:23:05,70
FNGiD7T4cpkOIM3mq.YdMY,m5YJXcVamIkxaZmrDw1mwA,2012-04-04 10:29:52,15
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-04-10 21:09:29,26
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-04-11 20:25:52,59
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-04-13 21:58:30,65
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-04-17 20:42:09,53
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-04-17 20:43:14,0
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-04-18 20:31:55,281
FNGiD7T4cpkOIM3mq.YdMY,ODOkY9pchzsDHj.23UGQoc,2012-04-19 22:08:53,170
